Protein.Accession,Group.Proteins,Group.Accessions,Gene,FC,FCmin,FCmax,Adj_pValue,Log2FC,Log10pValue,Log2FCmin,Log2FCmax,FC_SE,FC_SD_NoProp,FC_SD_Log2,type
Q8NI99,sp|Q8NI99|ANGL6_HUMAN,Q8NI99,ANGPTL6,28.6335,19.4316,42.1931,0.000121957931,4.8396,-3.913789951992,4.28033279236386,5.39893518363749,5.80650510204082,6.37598512365268,0.321253151681615,Enriched
Q92575,sp|Q92575|UBXN4_HUMAN,Q92575,UBXN4,5.9729,3.7796,9.4389,0.0014690689,2.5784,-2.83295783512323,1.91823356022631,3.23861873914082,1.44369897959184,1.58529150584485,0.382911515988174,Enriched
Q96PD5,sp|Q96PD5|PGRP2_HUMAN,Q96PD5,PGLYRP2,0.148,0.1355,0.1617,9.87629389e-06,-2.7561,-5.00540599519755,-2.88363524330822,-2.62860841607579,0.00668367346938776,0.00733918284118798,0.071541910061887,Depleted
Q96SM3,sp|Q96SM3|CPXM1_HUMAN,Q96SM3,CPXM1,41788.9083,3.3531,520806085.0847,0.0645569236,15.3508,-1.19005717369147,1.74549550948206,28.9561710641121,132858694.319286,145888971.70347,5036.58278139288,Not Significant
Q9BRA2,sp|Q9BRA2|TXD17_HUMAN,Q9BRA2,TXNDC17,6.0737,3.4336,10.7439,0.00286727218,2.6026,-2.54253107905859,1.77972198120707,3.42544587678923,1.86487244897959,2.04777207343269,0.486410361923087,Enriched
Q9NR50,sp|Q9NR50|EI2BG_HUMAN,Q9NR50,EIF2B3,6.9766,5.3452,9.106,0.00020782949,2.8025,-3.6822928281187,2.41824392991209,3.18681745935711,0.959387755102041,1.05348087134121,0.217849902352916,Enriched
Q9UBQ5,sp|Q9UBQ5|EIF3K_HUMAN,Q9UBQ5,EIF3K,11.4972,8.1852,16.1495,0.0002165224,3.5232,-3.66449716770244,3.03301766843834,4.01341759363399,2.03170918367347,2.2309715229799,0.279947426553213,Enriched
A0A087WSZ0,sp|A0A087WSZ0|KVD08_HUMAN,A0A087WSZ0,IGKV1D-8,1.2489,0.1114,13.9961,0.845297119,0.3207,-0.0729906112142632,-3.16617886220942,3.80695297245063,3.54201530612245,3.8894027479024,4.49293142478877,Not Significant
O15533,sp|O15533|TPSN_HUMAN,O15533,TAPBP,53.4519,31.7795,89.9038,0.0001780373,5.7402,-3.74948900057235,4.99002452123537,6.49031019088619,14.8276275510204,16.2818650845825,0.439456146815181,Enriched
O43169,sp|O43169|CYB5B_HUMAN,O43169,CYB5B,22.4333,2.727,184.5447,0.0306217218,4.4876,-1.51397039341517,1.44731470025318,7.52782649471932,46.3820663265306,50.931043666575,3.27539702696736,Enriched
O43598,sp|O43598|DNPH1_HUMAN,O43598,DNPH1,5.7589,5.0458,6.5727,3.4895885e-05,2.5258,-4.45722578298809,2.33508302345125,2.71648613712756,0.389515306122449,0.427717491611066,0.107149959896639,Enriched
O95757,sp|O95757|HS74L_HUMAN,O95757,HSPA4L,4.984,3.8663,6.4249,0.000323941236,2.3173,-3.48953376508839,1.95095358574373,2.68367399973425,0.652704081632653,0.716718825094029,0.207465227663507,Enriched
P07384,sp|P07384|CAN1_HUMAN,P07384,CAPN1,23.2066,18.1604,29.655,3.81966068e-05,4.5365,-4.41797521597546,4.18272407459003,4.89020346667564,2.93229591836735,3.21988439260761,0.200171987514361,Enriched
